Confusion Matrix:
           0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50    51    52    53    54    55    56    57    58    59    60    61    62    63    64    65    66    67    68    69    70    71    72    73    74    75    76    77    78    79    80    81    82    83    84    85    86    87    88    89    90    91    92    93    94    95    96    97    98    99   100
    0:  3633  3275     0     0     0     0     0     0     0     0     0     0     2     2     0     0     0     0     0   163     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   206     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    30     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    1:   202  4756     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0   741     0     0     0     0     0     0     0     0     0     0     0     0     0    10     0     0     0     0   281     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   230     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    2:     0     0  2321     0     0     0     0     2     0     3     0     0     0     0   901     0     0    23     0     0     3     0     0     0     0    25     0     0     0   109     0     1   142     5    50     0     0     0     1     0     0   141    51     0     1     0     8     0     0     3     2     1     0     0     0     7   124     2     4     0    48    29     0     0     7    11     1    10     0    86     0     0     0     0   509     0   276     0   256     0   213     0    79    37     0     0     1     0    33   219     0    46    47     0     0     0     0     0   196     0    80
    3:     1    37    55  4596     0     0     0     0     0     0     0     0     4     1     0     0     3     0     5   190     0     4     0     0   931     0     0     0     0     0     0     0     0     2    12     0     0     5     2     0     7     0     0     0     0     0     0     0     0     4     0     0     0     0    65     0     0     2     0     1     0     0     0     0     0     0     0     0     0     0     0    29    49    33     0     0     0     2     0     0     0     0     0     0     0     0   256     0     0     8     0     0     0     0     0     0    16     0     0     0     0
    4:     0     0     0     0  3147     0     0     0    35     0     0     0     0     0     0     0     0     0     0     0   105     0     0     0     0     0     0    76     0    55     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    10     0     0     0     0     0     0     7   123     0     0     0     0     0     0     0     0    19     0     0     0     0     0
    5:     0     0     0     0     0  6394     0     0   212    24     2     0     3     0     0    11     0     0     0     0     0     5     0     0     0     0     0     0     0   162   128     0     0     0     0     0     0    45     4    36     0     0     6     0    25     0     0     0     0     0     1    10     8     0     0     0     0     5     0     0     0     0     0     0     0     0    13     0     0     0     3     0     0     0     0     0   164     0    19     6     0     0     0     0     0     0    10     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    6:     0     0   148     0     0     0  3135   147     0     0     0     0     0     0     0     0     0     0     0     0     0     0    30     0     0     0     0     0     0     0     0     0    51     0     0     0     0     0     0   202    33     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    17     0     0     0     0   237     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    7:     0     0     0     0     1     0     0  1564     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    42     0     0    53     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0   161     0     0     0     0     0     0     0     0     0     0    21     0     0     0     0     0     0     0     0     0     0     0     8     0    31     0     0     0     0     0     0     0     0    47   146     0     0     0    43     0     6     0     0     0     0     0  1192     0    10     0    14   583     0     0     0     0
    8:     0     0     0     0     0     0     0     0  2134     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
    9:     0     0     0     0     0     0     0     0    15  4730     0     0     0     0     0     0     0     0     0     0   270     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   300     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
