Average: 0.691796
Micro Average: 0.691796
Macro Average: 0.655422
Confusion Matrix:
           0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49       50       51       52       53       54       55       56       57       58       59       60       61       62       63       64       65       66       67       68       69       70       71       72       73       74       75       76       77       78       79       80       81       82       83       84       85       86       87       88       89       90       91       92       93       94       95       96       97       98       99      100
 0:     3566     3299        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        0        0      157        0        0        0        0        0        0        0        0        0        0        0        0        0        5        0        0        0        0        0        0        0        0        0        0        0       47        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      207        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       27        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 1:      351     4911        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        0        0      429        0        0        0        0        0        0        0        0        0        0        0        0        0       57        0        0        0        0      271        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      201        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 2:        0        0     2653        0        1        0        0        0        0        0        0        0        0        0      335        0        0      546        0        0        0        0        0        0        0       37        2        1        0       89        0        2      132        3       89        0        0        1       28        0        0       56       73        5        0        3       15        0        0        2        0        2        0        0        0        1       37       14        7        0        6        6        0        0        1        0        1        2        0      105        0        0        0        0      301        5      352        0      231        0      233        0      104        8        0        4        3        2        7      185        0       90       61        0        1        0       40        0      205        0       27 
 3:        1       35       68     4326        0        0        0        0        0        0        0        0        0        0        0        0        0        4        8      152        0        0        1        0      851        0        0        0        0        0        0        0        0       12        6        0        0        2        9        0        0        0        0        0        0        1        0        0        0       17        0        0        0        0       76        0        0        5        0        1        0        0        0        0        0        1        0        0        0        0        0       40       38       35        0        0        0        1        0        0        0        0        0        0        0        0      628        0        0        0        0        0        0        0        0        0        2        0        0        0        0 
 4:        0        0        0        0     3174        0        0        0        1        0        0        0        0        0        0       10        0        0        0        0       88        0        0        0        0        0        0       18        0       20        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        0        0        0        3      139        0        0        0        0        0        0        0        0      127        0        0        0        0        0 
 5:        0        0        0        0        0     6135        0        0      231       22        0        0        1        0        0       33        0        0        1        0        0        7        0        0        0        0        3        0        0      187      143        0        0        0        0        0        0      222        7        0        0        1        4        0        9        0        0        0        0        0       11        6       21        0        0        0        0       21        0        0        0        0        0        0        0        0       26        0        0        0        3        0        0        0        0        0      157        0       18       11        0        0        7        0        0        0        6        0        3        0        0        0        0        0        0        0        0        0        0        0        0 
 6:        0        0      209        0        0        0     3298       86        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0       91        0        0        0        0        0        0       84       18        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      214        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 7:        0        0        0        0        1        0        0     1773        0        0        1        0        0        0        0        0        0        0        0        0        0        0        4        7        0       26        0        0       55        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0       99        0        0        0        0        0        0        0        0        0        0       24        0        0        0        0        0        0        0        0        0        0        0        8        0       16        0        0        0        0        0        0        0        0       14       89        0        0        0       84        0        5        0        0        0        0        0     1185       12        9        0       24      484        0        0        0        0 
 8:        0        0        0        0        0        0        0        0     2134        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
 9:        0        0        0        0        0        0        0        0       98     4505        0        0        0        0        0        0        0        0        0        0      375        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      335        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
10:        0        0        3        0       13        0        0        4       15        0     6854        0        0        0        0        0        0        0        5        0        0        6       23        0        0        0        0        0        0        0        5        0       52        0        2        2        0        0        0       11        0      152       20        0        0        4        0        0        0        0        7        0        0        0        0        0        0       41        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0       41     1155        0        6        0       60        0        0        0        0       48        2        0      257       53       94        0        1        2        3        0        3        0 
11:        0        0        0        0        0        0        0        0        0        0        0    12714        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
12:       24       75        0        0        0        0        0        0        0        0        0        0     2004        3        0        0        9        1        0      501        2        0        0        0        0        0        4        0        0        0        0        0        0     2018      210        0        0        0      523        0        0        0       10      122        0        0        4        0        0        0        0        0        0        0        3        0        0        6        2       68        0       46       63        0        0        0       13        0        0        3        1        0        0        5        0        0        0        4        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       26 
13:        0        0        0        0        0        0        0        0        0        0        0        0        2     2695        0        0        0        0        0        0        0        0        0        0        0        0        4        0        0        0        0        0        0        3        0        0        0        0      170        0        0        0        0        0        0       11        0        0        0        0        0        0        0        0       15        0        0        0        0        0        0        0        0        0        0       10        0        0        0        0        0        0        0        3        1        0        0       47        0        0        0        0        0        0        0        0       27        0        0        0        0        0        0        0        0        3        0        0        0        0        0 
14:        0        0       75        0        0        0        0        0        0      201        1        0        2        0      721        0       26        7        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      289        0       51        0        0        0       20        0        0      288       70      369        0        0        0      158        0        0      108       68        0       51        0        6        0       47        0        0        0        0      175        0        0        2        8        0        0        0       22        0        3        3        0        0        0        0        0        4        0      233        9        0        0      117        0        0        0        0        0        0        0        0      548        0       14 
15:        0        0        0        0      129        0        0        0       30        0        0        0        0        0        1     5136        0        0       62        0       13        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       14        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       37        0       44        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0 
16:        0        2        3        0        0        0        0        0        0        0        0        0        2        0        1        3     4100     2116        0        0     1098        3        0        0        0        2        0        6        0        0        0        0        0      102        0        0        0        0      223        0        0        0        0        0        0        0        0        0        0        0        0       43        0        0        0        0        0        1        0        0        0        0       12        0        0        3        3        0        0        5       39        0        0        0      520        0        0        1       46        0        0        0        0        0        0       42        0        0        0        0        0        0        0        0        0        0        0        0     1473        0       14 
17:        0        0        0        1        0        0        0        0        0        0        0        0      102        2        0        0      474     5468        0      226        0        0        0        0        0        0        0        0        0        0        0        0        0       38     1204        0        0        0       14        0        0        0        0        0        0        1        0        0        0      199        0        0        0        0        1        0        0        1       19       82        0        0        0        0        0        0      112        0        0      245        4        0        0        2        1        0        0      149        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0 
18:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0     4797        0        0        0        0        0        0       40        0        0        0        0        0       79        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       59        0        0        0        0        0        6        0        0        0        0        0      117        0        0        0        0        0        0        0        0        0        0        0        0        0 
19:      868      936        0        0        0        0        0        0        0        0        0        0       12       48        0        0        0        8        0     3187        0        0        0        0        0        0        0        0        0        0        0        0        0       57        0        0        0        0        0        0        0        0        0        0        0       10        0        0        0       96        0        0        0        0        0        0        0        5        0       34        0      177        0        0        0        0        0        0        0       29        0        0        0        3        0        0        0     4625        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
20:        0        0        0        0      361        0        0        0        0        0        0        7        0        0       13        0       31        0        0        0     3933        0        0        0        0        0        0       78       12      215        0        0      715        0        0        0       26        0        0        0       20        0        0        3       81        1       19       34        0        0      161        1        0        0        0        0       63       41        0        0        0        0        0        0        0        0        0        0        0        6        0        0        0        0        0        1        4        0        0        0        0        0        0        0        0      481       28        0        0        0        0        0        0        0        0        2        0        0        0       41        0 
21:        1        0        0        0        3        7        0      156        0        0        3        0        1        0        0        0       11        0        7        0        2     1737        0        6        0       20       11        0        0        0       18        4       13        1        0       56        0        0        0        1        1       19        7        6        2        1       32        0      124        0        0        0       12        2        0        0        0        0        0        0        0        0        0        0        0        2        0       16        0       15        0       16       21       78       43       13        0        0        2       12       63       50      440       26        0       29        0      156        0        1        0        0        1       36        0        6        0        0        0        1        8 
22:        0        0        0        0       37        0        0      120        0        0        0        0        0        0        0        3       18        0        0        0        1        0     2127      220        0        0        0      101       39      114        0        0        0        0        2        0        0       59        0        2        0        2        0       69       42        0        0        0        0        0        0        0        0        0        5       77        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        1        3        0        0      402      378        0        0        8        0       94        0        2        0        0       33        3        2        0        0        0        1        0        0        7        0 
23:        0        0        0        0        0        0       89        0        0        0        0        0        0        0        0        0        0        0        0        0        0        5     1098     1827        0        0        0        0      269        0      206        0      126        0        7      160        0       58        0       11       16        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0       13        0        0        0        0       22        0        0        0        0      444       11       36        0      315       63        0        0        0        0        1        0        0 
24:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0        0        0     5810        0        0        0        0        0        0        1        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        5        0        0        0       27        0        0        0        3        0       17        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
25:        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0     7729        0        0        0       21        0       21        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       90        0        0        0        0        0       43        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
26:        0        0        0        0        7       43        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        5        0        0        0        0    10224        0        0        0        0        0        0        2        0        0        0        0        3        4        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0     1798        0        0       26        0        0        0        0        0        0        1        0        0        6        1        0        0        0        0        0        0        0       14        0        0        2        4        0        0        0        0        0        0       14        0       25        0        0        0        0        0 
27:        0        0        0        0        5      134      349        0        0        0        0        0        0        0        0        0        0        0        0        0       20        0        0        0        0        0        0     3704        0       37        0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0       19       62        0        0        0        0        5       14        0        0        0        0        0        0        0        0        0        0        1        0        2        0        0        0      149        0        0        0        0        0        0        0        0        0        0        0        4        0        0        0        0        4        0        0        0        0        0        0        0        0        0 
28:        0        0        0        0        0        0       15        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        5     2591        0     1117        0        0        0        0        0        0        0        0        0        0        5        0       15        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0      502        0        0        0        0        0        0       33        0        0        0       18        0        0        0        0        0 
29:        0        0        0        2      479        0        0        0        9        0        0        0        0        2        0        9        0        0        0        0        0        0        0        0        7        3        0        1        0     4261        0        0        0        0        2       11        3        2        0       43        0        0        0      184       39        0       20        0        0        0        0        0        0        0        0        0      160        0        0        0        0        0        0        0        0        0        0        0       28        0       14       51        0        0        0        0        0        0        0        1        0        0        1        1        0       95       16        1        0        0        8        7        0        0        0       53        0        0        0        0        0 
